COD CURSO;NOME UNIDADE;COD ESTRUTURADO;COD DISCIPLINA;ID ATIV CURRIC;NOME DISCIPLINA;PERIODO IDEAL;CREDITOS;CH TOTAL;TIPO DISCIPLINA;NUM VERSAO;SIT VERSAO;TOTAL CH;TOTAL CR;SEMESTRE IDEAL;NUM MIN PERIODOS;NUM MAX PERIODOS;CH TOTAL CURSO;SIT ATIV;EMENTA;OBJETIVOS
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0025;11911;TIN0025 - Projeto e Construção de Sistemas com SGDB;5;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0027;11913;TIN0027 - Iniciação à Pesquisa I;5;1;30;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0034;11920;TIN0034 - Banco de Dados em Ambiente Cliente-Servidor;5;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0042;11928;TIN0042 - Programação Linear;5;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0052;12443;TIN0052 - Estudo de Domínios de Aplicação II;5;3;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0054;12982;TIN0054 - Atividades Curriculares de Extensão-1;5;3;90;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0058;12992;TIN0058 - Desenvolvimento de Software para Web;5;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0026;11912;TIN0026 - Distribuição e Concorrência;6;3;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0029;11915;TIN0029 - Iniciação à Pesquisa II;6;1;30;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0030;11916;TIN0030 - Empresa de Informática;6;4;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0035;11921;TIN0035 - Administração de Banco de Dados;6;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0038;11924;TIN0038 - Comunicação e Segurança de Dados;6;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0044;12731;TIN0044 - Algoritmos para Problemas Combinatórios;6;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0053;12445;TIN0053 - Estudo de Domínios de Aplicação III;6;3;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0055;12990;TIN0055 - Atividades Curriculares de Extensão-2;6;3;90;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0060;12994;TIN0060 - Desenvolvimento Baseado em Componentes;6;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0031;11917;TIN0031 - Projeto de Graduação I;7;2;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0032;11918;TIN0032 - Gerência de Projetos em Informática;7;3;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0036;11922;TIN0036 - Banco de Dados Distribuídos e Datawarehousing;7;3;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0039;11925;TIN0039 - Projeto e Gerência de Redes Locais;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0040;11926;TIN0040 - Calibragem e Análise de Desempenho;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0043;11929;TIN0043 - Fluxo em Redes;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0046;11932;TIN0046 - Compiladores;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0047;11933;TIN0047 - Inteligência Artificial;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0048;11934;TIN0048 - Sistemas Multimídia;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0049;11935;TIN0049 - Computação Gráfica e Processamento de Imagem;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0050;11936;TIN0050 - Ambiente Operacional Unix;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0056;12989;TIN0056 - Atividades Curriculares de Extensão-3;7;3;90;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0059;12993;TIN0059 - Groupware - Tecnologias de Apoio à Colaboração;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0062;13489;TIN0062 - Tópicos Avançados em Bancos de dados 2;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0063;13490;TIN0063 - Tópicos Avançados em Banco de Dados 3;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0064;13491;TIN0064 - Tópicos Avançados em Redes de Computadores 2;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0065;13492;TIN0065 - Tópicos Avançados em Redes de Computadores 3;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0066;13493;TIN0066 - Tópicos Avançados em Engenharia de Software 2;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0067;13494;TIN0067 - Tópicos Avançados em Engenaharia de Software III;7;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;HDP0502;13126;HDP0502 - DIREITO E ÉTICA PROFISSIONAL;8;4;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;;
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0033;11919;TIN0033 - Projeto de Graduação II;8;2;60;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0037;11923;TIN0037 - Tópicos Avançados em Banco de Dados;8;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0041;11927;TIN0041 - Tópicos Avançados em Redes de Computadores;8;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0045;11931;TIN0045 - Tópicos Avançados em Algoritmos;8;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0057;12991;TIN0057 - Atividades Curriculares de Extensão-4;8;3;90;Obrigatória;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0061;12995;TIN0061 - Tópicos Avançados em Engenharia de Software;8;3;60;Optativa;2000/2;INATIVO;3270;0;10;8;12;3270;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;HHI0033;10948;HHI0033 - História da Ciência e da Tecnologia;1;4;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0005;11888;TIN0005 - Introdução à Lógica Computacional;1;4;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0006;11891;TIN0006 - Programas Utilitários Básicos;1;3;60;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
210;Sistemas de Informação - Bacharelado - Turno Integral (V/N);1.30.00.10.10.00.00.01.00;TIN0007;11892;TIN0007 - TÉCNICAS DE PROGRAMAÇÃO I;1;3;90;Obrigatória;2005/2;ATIVO;3240;0;10;8;12;3240;ATIVA;[object Object];[object Object]
