COD CURSO,NOME UNIDADE,COD ESTRUTURADO,COD DISCIPLINA,ID ATIV CURRIC,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,CH TOTAL,TIPO DISCIPLINA,NUM VERSAO,SIT VERSAO,TOTAL CH,SEMESTRE IDEAL,NUM MIN PERIODOS,NUM MAX PERIODOS,CH TOTAL CURSO,SIT ATIV,EMENTA,DESCR ESTRUTURA,TIPO AULA,NUM HORAS,CONTA CH,SITUACAO VERSAO,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0210,22614.0,TIN0210 - Projeto Integrador II,4,2.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0227,22631.0,TIN0227 - Projeto e Análise de Algoritmos,4,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0229,22633.0,TIN0229 - Engenharia de Software I,4,3.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0233,22637.0,TIN0233 - Armazenamento e Gestão de Dados,4,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0237,22641.0,TIN0237 - Redes de Computadores,4,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TMQ0007,22620.0,TMQ0007 - Probabilidade,4,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0211,22615.0,TIN0211 - Metodologia Científica e Tecnológica,5,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0220,22624.0,TIN0220 - Governança de Tecnologia da Informação,5,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0230,22634.0,TIN0230 - Engenharia de Software II,5,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
210,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,TIN0231,22635.0,TIN0231 - Gerência de Projetos,5,4.0,60,Obrigatória,2023/2,CORRENTE,3000.0,8.0,8.0,12.0,3000.0,ATIVA,[object Object],,,,,,,,,
