COD CURSO,NUM VERSAO,DESCR ESTRUTURA,COD DISCIPLINA,NOME UNIDADE,COD ESTRUTURADO,NOME DISCIPLINA,PERIODO IDEAL,CREDITOS,TIPO AULA,NUM HORAS,CONTA CH,TIPO DISCIPLINA,SITUACAO VERSAO,CH TOTAL,ID CURSO,ID VERSAO CURSO,ID ESTRUTURA CUR,DESCR SITUACAO,EMENTA
210,2000/2,Disciplinas obrigatórias,TIN0013,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Análise Empresarial e Administrativa,2,4,Prática,0,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0013,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Análise Empresarial e Administrativa,2,4,Teórica,60,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0014,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estruturas de Dados,3,3,Prática,30,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0014,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Estruturas de Dados,3,3,Teórica,60,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0015,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Análise e Projeto de Sistemas,3,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0015,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Análise e Projeto de Sistemas,3,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0016,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Sistemas Operacionais,2,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0016,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Sistemas Operacionais,2,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0017,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Administração Financeira,3,5,Prática,30,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0017,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Administração Financeira,3,5,Teórica,60,S,Obrigatória,I,90,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0018,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Análise de Algoritmos,5,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0018,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Análise de Algoritmos,5,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0019,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Linguagens Formais e Autômatos,4,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0019,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Linguagens Formais e Autômatos,4,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0020,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Sistema de Banco de Dados,4,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0020,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Sistema de Banco de Dados,4,3,Teórica,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
210,2000/2,Disciplinas obrigatórias,TIN0021,Sistemas de Informação - Bacharelado - Turno Integral (V/N),1.30.00.10.10.00.00.01.00,Programação Modular,5,3,Prática,30,S,Obrigatória,I,60,10,13,133,ATIVA,[object Object]
